RID,I_onion.ct,S_chop ,T_knife,T_cutting.board,I_garlic.cloves.ct,S_mince,I_eggplant.ct,S_peel,S_slice.thick,I_squash.zucchini.ct,I_squash.yellow.ct,S_wash,T_brush,S_slice.thin,S_layer,I_bell.pepper.green.ct,I_bell.pepper.red.ct,I_bell.pepper.yellow.ct,S_core,I_mushrooms.C,I_black.olives.C,S_spread,I_tomato.ripe.oz,T_scale.oz,I_tomato.canned.whole.oz,I_tomato.canned.paste.oz,T_canopener,T_spoon,I_liquid.oil.olive.T,S_drizzle,S_toss,I_liquid.water.C,I_liquid.vinegar.wine.red.T,I_liquid.vinegar.balsamic.T,I_spice.bay.leaf.ct,I_spice.basil.fresh.C,S_shred,I_spice.parsley.t,I_spice.oragano.t,I_spice.thyme.t,I_spice.coriander.ground.t,I_spice.fennel.seeds.t,T_morter.pestle,I_spice.salt.t,S_measure,I_spice.pepper.black.ground.t,I_cheese.soft.T,S_dollop,I_cheese.parmesan.C,S_sprinkle,S_crumble,T_dish.baking,T_oven,S_simmer,T_pot.cover,T_spatula,S_stir,T_skillet.large,T_cook.burner,T_dutch.oven,T_measure.C.0.25,T_measure.C.0.5,T_measure.C.1,T_measure.t.0.125,T_measure.t.0.25,T_measure.t.0.5,T_measure.t.1,T_measure.T.1,T_timer
1,1,1,1,1,2,1,0.75,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,12,1,0,0,0,0,5,0,0,0,0,0,0,0.5,1,0,0.25,0.25,0.125,0.25,1,0.75,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,1,1
2,0.5,1,1,1,12,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,6,1,1,1,1,0,0.75,0,0,0,0,0,0,0,0.25,0,0,0,0.5,1,0.25,3,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
3,2,1,1,1,8,1,1,1,1,2,0,1,1,0,0,0,1,1,1,0,0,0,0,0,28,0,1,0,6,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0.5,1,0.25,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,1,1
4,1,1,1,1,3,1,1,1,1,2,0,1,1,1,1,1,0,0,1,2,0,1,12,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,1
5,1,1,1,1,2,1,1,1,0,3,0,1,1,0,0,1.5,0,0,1,0,0,0,12,1,0,0,0,0,1,0,1,0,0,0,1,0.25,0,0,0,0.5,0,0,0,0.5,1,0.25,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1
6,1,1,1,1,4,1,1,1,0,1,2,1,1,0,0,0,1,0,1,0,0,0,18,1,0,0,0,0,2,0,0,0.5,0,0,0,0.25,0,0,0,0.5,0,0,0,0.5,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0,0,1
7,1,1,1,1,12,0,0.75,1,1,1,0,1,1,1,0,0,1,1,1,0.5,0,1,16,1,0,0,0,0,1,0,1,0,0,1,0,0.25,1,0,0,0.5,0,0.25,0,0.5,1,0.5,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1
8,1,1,1,1,8,0,1,1,0,1,0,1,1,0,0,0,1,0,1,0,0.5,0,24,1,0,0,0,0,4,0,1,0,0,0,0,0.5,0,0,0,1,0,0,0,0.5,1,0.25,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1
9,2,1,1,1,5,0,3,1,1,3,0,1,1,0,0,0,2,0,1,0,0,0,32,1,0,0,0,0,5,0,0,0,0,0,0,0.25,0,2,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1
10,0.5,1,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,8,1,1,2,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,1,0.25,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
11,0.5,1,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,6,1,1,4,1,0,0.75,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0.25,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1
12,0,1,1,1,4,1,1,0,1,2,0,1,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0.5,1,0.25,8,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1
